'time', 'CO2'
2296.76, 10.265088
2297.26, 10.132002
2297.76, 10.227719
2298.26, 10.182951
2298.76, 10.176189
2299.26, 10.335423
2299.76, 10.319692
2300.26, 10.201295
2300.76, 10.098969
2301.26, 10.288317
2301.76, 10.300362
2302.26, 10.254394
2302.76, 10.264933
2303.26, 10.228890
2303.76, 10.405485
2304.26, 10.263674
2304.76, 10.274490
2305.26, 10.181905
2305.76, 10.088459
2306.26, 10.234574
2306.76, 10.200956
2307.26, 10.255775
2307.76, 10.251537
2308.26, 10.307707
2308.76, 10.245268
2309.26, 10.236694
2309.76, 10.318493
2310.26, 10.414920
2310.76, 10.064093
2311.26, 10.137012
2311.76, 10.226736
2312.26, 10.226122
2312.76, 10.295816
2313.26, 10.263980
2313.76, 10.259555
2314.26, 10.269174
2314.76, 10.346702
2315.26, 10.347376
2315.76, 10.243085
2316.26, 10.231069
2316.76, 10.131019
2317.26, 10.489651
2317.76, 10.209037
2318.26, 10.260906
2318.76, 10.174837
2319.26, 10.364648
2319.76, 10.404410
2320.26, 10.277380
2320.76, 10.292098
2321.26, 10.201449
2321.76, 10.392703
2322.26, 10.252149
2322.76, 10.313423
2323.26, 10.231102
2323.76, 10.208547
2324.26, 10.334256
2324.76, 10.191492
2325.26, 10.162854
2325.76, 10.136058
2326.26, 10.347284
2326.76, 10.268622
2327.26, 10.353738
2327.76, 10.331031
2328.26, 10.310534
2328.76, 10.328726
2329.26, 10.262629
2329.76, 10.359053
2330.26, 9.950396
2330.76, 10.364218
2331.26, 10.226368
2331.76, 10.291144
2332.26, 10.294185
2332.76, 10.307154
2333.26, 10.232516
2333.76, 10.386526
2334.26, 10.214169
2334.76, 10.185071
2335.26, 10.336501
2335.76, 10.358379
2336.26, 10.313269
2336.76, 10.284323
2337.26, 10.257343
2337.76, 10.360007
2338.26, 10.201048
2338.76, 10.142788
2339.26, 10.287610
2339.76, 10.449333
2340.26, 10.318953
2340.76, 10.149948
2341.26, 10.368396
2341.76, 10.345226
2342.26, 10.423862
2342.76, 10.228613
2343.26, 10.342277
2343.76, 10.315636
2344.26, 10.393131
2344.76, 10.319722
2345.26, 10.358317
2345.76, 10.358041
2346.26, 10.186883
2346.76, 10.268622
2347.26, 10.237891
2347.76, 10.292005
2348.26, 10.394916
2348.76, 10.453791
2349.26, 10.316372
2349.76, 10.286042
2350.26, 10.237463
2350.76, 10.398079
2351.26, 10.281926
2351.76, 10.161102
2352.26, 10.365477
2352.76, 10.316556
2353.26, 10.297627
2353.76, 10.316648
2354.26, 10.298580
2354.76, 10.353830
2355.26, 10.298643
2355.76, 10.316464
2356.26, 10.270065
2356.76, 10.288379
2357.26, 10.360223
2357.76, 10.321721
2358.26, 10.378597
2358.76, 10.373988
2359.26, 10.287396
2359.76, 10.375832
2360.26, 10.341663
2360.76, 10.306201
2361.26, 10.339881
2361.76, 10.335393
2362.26, 10.309860
2362.76, 10.285920
2363.26, 10.354260
2363.76, 10.378229
2364.26, 10.190969
2364.76, 10.405978
2365.26, 10.295878
2365.76, 10.329065
2366.26, 10.326238
2366.76, 10.420203
2367.26, 10.352787
2367.76, 10.262382
2368.26, 10.355736
2368.76, 10.313331
2369.26, 10.405732
2369.76, 10.460675
2370.26, 10.331675
2370.76, 10.309580
2371.26, 10.456987
2371.76, 10.325344
2372.26, 10.350174
2372.76, 10.374787
2373.26, 10.394975
2373.76, 10.406346
2374.26, 10.356781
2374.76, 10.317756
2375.26, 10.246435
2375.76, 10.399400
2376.26, 10.361236
2376.76, 10.250061
2377.26, 10.340002
2377.76, 10.402812
2378.26, 10.384468
2378.76, 10.334749
2379.26, 10.345502
2379.76, 10.349221
2380.26, 10.417192
2380.76, 10.258973
2381.26, 10.309551
